contract_id,sim_to_Affiliate License-Licensee,sim_to_Affiliate License-Licensor,sim_to_Agreement Date,sim_to_Anti-Assignment,sim_to_Audit Rights,sim_to_Cap On Liability,sim_to_Change Of Control,sim_to_Competitive Restriction Exception,sim_to_Covenant Not To Sue,sim_to_Document Name,sim_to_Effective Date,sim_to_Exclusivity,sim_to_Expiration Date,sim_to_Governing Law,sim_to_Insurance,sim_to_Ip Ownership Assignment,sim_to_Irrevocable Or Perpetual License,sim_to_Joint Ip Ownership,sim_to_License Grant,sim_to_Liquidated Damages,sim_to_Minimum Commitment,sim_to_Most Favored Nation,sim_to_No-Solicit Of Customers,sim_to_No-Solicit Of Employees,sim_to_Non-Compete
ALLIANCEBANCORPINCOFPENNSYLVANIA_10_18_2006-EX-1.2-AGENCY AGREEMENT,0.36815417,0.30048293,0.097940445,0.34866565,0.18790904,0.28745252,0.3826814,0.42013323,0.3418026,0.33707255,0.3122694,0.34239697,0.27654406,0.355092,0.27728838,0.32310188,0.28938755,0.34500003,0.29219952,0.31284368,0.3524285,0.332865,0.40574038,0.27308816,0.3676691
ALLISONTRANSMISSIONHOLDINGSINC_12_15_2014-EX-99.1-COOPERATION AGREEMENT,0.3186731,0.28817484,0.30907673,0.504175,0.31637508,0.3909679,0.46564975,0.439078,0.40554434,0.5009044,0.5392904,0.42362598,0.49052668,0.36436886,0.42423475,0.4342992,0.324156,0.5375551,0.4353767,0.47619602,0.46017757,0.34123486,0.41728175,0.4116143,0.3819747
AMBASSADOREYEWEARGROUPINC_11_17_1997-EX-10.28-ENDORSEMENT AGREEMENT,0.48345813,0.5199722,0.17159763,0.49448353,0.3286144,0.39751273,0.44833538,0.47724846,0.49690658,0.4387553,0.3805992,0.4994592,0.35860813,0.5097133,0.43315,0.5206957,0.40458345,0.4286031,0.47443485,0.25685376,0.3714499,0.3027127,0.48282105,0.3715819,0.41371152
AMERICANPHYSICIANSCAPITALINC_03_31_2003-EX-10.26-AGENCY AGREEMENT,0.31539178,0.29024917,0.24116738,0.4101395,0.32306287,0.38682595,0.37917066,0.36211437,0.3573417,0.42151496,0.5183637,0.3129554,0.5239376,0.37776607,0.49970204,0.29515004,0.31290925,0.43847397,0.34713864,0.42425066,0.40490252,0.28274637,0.6662708,0.46214774,0.37177402
AMERICASSHOPPINGMALLINC_12_10_1999-EX-10.2-SITE DEVELOPMENT AND HOSTING AGREEMENT,0.27097484,0.33352712,0.38664925,0.4157142,0.32302922,0.38020346,0.44137117,0.42283767,0.39991695,0.48755944,0.6694193,0.35449842,0.5842893,0.5093126,0.35888234,0.4127789,0.31887257,0.5670605,0.3974281,0.4211951,0.41842878,0.28823966,0.47124088,0.516621,0.37069786
ANIXABIOSCIENCESINC_06_09_2020-EX-10.1-COLLABORATION AGREEMENT,0.37217042,0.45337236,0.17478755,0.48600352,0.35621426,0.34368253,0.33160082,0.38107878,0.41583276,0.39819193,0.44187254,0.42183357,0.3746047,0.39830965,0.31218725,0.35103267,0.27950498,0.56658006,0.5530865,0.21900922,0.28908902,0.24887954,0.43301865,0.40206507,0.28176832
"ARMSTRONGFLOORING,INC_01_07_2019-EX-10.2-INTELLECTUAL PROPERTY AGREEMENT",0.4108188,0.42667937,0.12250358,0.44326022,0.19600794,0.3032841,0.37041086,0.37105358,0.43636405,0.44844007,0.36451742,0.3298353,0.38349468,0.44248933,0.30537617,0.43450007,0.40370882,0.45979276,0.5172833,0.26528612,0.32044196,0.23379542,0.37409166,0.28871578,0.33694357
"ASHWORTHINC_01_29_1999-EX-10.(D)-PROMOTION AGREEMENT AND NANTZ COMMUNICATIONS, INC.",0.39218116,0.3480777,0.2165359,0.38362375,0.22802792,0.24306938,0.2932416,0.42698735,0.3935826,0.35969844,0.4181215,0.31279036,0.35967365,0.41293824,0.39812726,0.51961255,0.38952076,0.40754032,0.31919378,0.16247752,0.35828808,0.24927174,0.39770147,0.40112817,0.3986082
ASIANDRAGONGROUPINC_08_11_2005-EX-10.5-Reseller Agreement,0.34129828,0.2656513,0.3674411,0.3682173,0.19951671,0.24951658,0.39286938,0.45087403,0.29803842,0.41310906,0.60734063,0.33888045,0.5498154,0.2599794,0.31198102,0.3149525,0.41909617,0.38776922,0.27213514,0.46259344,0.38526657,0.39825788,0.43914738,0.41386157,0.30916032
ASPIRITYHOLDINGSLLC_05_07_2012-EX-10.6-OUTSOURCING AGREEMENT,0.3195004,0.32158965,0.1818251,0.4043352,0.27119714,0.32117724,0.46050793,0.37181795,0.26428792,0.46029353,0.5500212,0.32950652,0.41376555,0.40334266,0.30348676,0.3576638,0.32502556,0.5158143,0.3675899,0.53524166,0.314699,0.31146044,0.43856078,0.54434085,0.26484978
ATENTOSA_07_06_2020-EX-99.1-JOINT FILING AGREEMENT,0.41161418,0.28627485,0.067402184,0.33739007,0.26331192,0.33112586,0.31593624,0.32905215,0.34290487,0.4313007,0.2702545,0.31664586,0.30708766,0.18153071,0.23005776,0.30054384,0.30188683,0.37437385,0.3034746,0.26720583,0.3057729,0.33164662,0.37818626,0.1960326,0.28069872
"ATHENSBANCSHARESCORP_11_02_2009-EX-1.2-AGENCY AGREEMENT , 2009",0.28342196,0.2840226,0.17746654,0.42460245,0.24574688,0.32150787,0.41795278,0.47617304,0.30682516,0.28454977,0.32786384,0.39824802,0.35823774,0.3190618,0.28175408,0.3277149,0.22727767,0.39557356,0.32461974,0.31603518,0.41349578,0.3926376,0.41465566,0.31319734,0.33200008
ATMOSENERGYCORP_11_22_2002-EX-10.17-TRANSPORTATION SERVICE AGREEMENT,0.25996533,0.22659609,0.2689092,0.2825296,0.26413652,0.2590055,0.35491085,0.38150078,0.22073187,0.3794537,0.49837422,0.24755764,0.4618511,0.3180105,0.29633334,0.25660354,0.19590628,0.32859534,0.36313367,0.42542192,0.30859065,0.26078722,0.36764374,0.4025342,0.23213501
AULAMERICANUNITTRUST_04_24_2020-EX-99.8.77-SERVICING AGREEMENT,0.27656606,0.28111693,0.17525822,0.42094094,0.2337204,0.35136306,0.3083849,0.34556714,0.33477783,0.33914554,0.41119164,0.2858441,0.3985285,0.4202463,0.4545079,0.29919624,0.24497472,0.42242503,0.29740903,0.3925637,0.38237667,0.20517579,0.5217642,0.280491,0.3186953
AURASYSTEMSINC_06_16_2010-EX-10.25-STRATEGIC ALLIANCE AGREEMENT,0.29532278,0.25574958,0.2881946,0.3555509,0.24641341,0.24846213,0.4013734,0.3698957,0.31138828,0.43866557,0.6899247,0.38755113,0.6095877,0.4878111,0.4273898,0.27750695,0.268063,0.4507545,0.3925466,0.3514865,0.36067688,0.25638053,0.3834178,0.5182861,0.33768043
AgapeAtpCorp_20191202_10-KA_EX-10.1_11911128_EX-10.1_Supply Agreement,0.42715743,0.47247976,0.31633794,0.51166004,0.42160594,0.48473132,0.47923937,0.4272287,0.47730914,0.519544,0.56174684,0.47560275,0.647276,0.40107107,0.43051314,0.46139663,0.40586147,0.50729096,0.4825874,0.3595255,0.5085466,0.3941194,0.4597888,0.45420915,0.3810554
AimmuneTherapeuticsInc_20200205_8-K_EX-10.3_11967170_EX-10.3_Development Agreement,0.32798946,0.45483664,0.15104352,0.4539323,0.30688238,0.2992137,0.3461352,0.2845695,0.4911887,0.3787759,0.39688122,0.44566453,0.38048914,0.4179275,0.33371675,0.37569925,0.27257812,0.4714332,0.52997994,0.10082114,0.2771787,0.24732727,0.40732983,0.37261367,0.28334716
AlliedEsportsEntertainmentInc_20190815_8-K_EX-10.19_11788293_EX-10.19_Content License Agreement,0.41725528,0.40532532,0.12874195,0.43077922,0.20934644,0.35271627,0.39334893,0.4234962,0.28932387,0.3601964,0.42042518,0.43113148,0.36555982,0.48138532,0.34573305,0.43855953,0.5202873,0.53661084,0.40855604,0.314385,0.36906195,0.37400365,0.50252503,0.3483826,0.33011582
AlliedEsportsEntertainmentInc_20190815_8-K_EX-10.34_11788308_EX-10.34_Sponsorship Agreement,0.4537406,0.5112558,0.18566799,0.44206607,0.3243578,0.33117613,0.5057275,0.5328562,0.4320975,0.50841665,0.37532997,0.51532316,0.4224216,0.3965223,0.37335485,0.44946045,0.3871711,0.46604675,0.5036001,0.22536495,0.44887424,0.28807703,0.45127892,0.3969459,0.3762246
"Antares Pharma, Inc. - Manufacturing Agreement",0.4259412,0.40629426,0.22231537,0.46701446,0.46916398,0.34892744,0.36902943,0.3715014,0.4337695,0.44409862,0.4334175,0.4491803,0.4233835,0.38394517,0.36850077,0.35441688,0.2830811,0.49232274,0.49508113,0.22527534,0.39031017,0.34724492,0.4085817,0.35578498,0.3387537
Apollo Endosurgery - Manufacturing and Supply Agreement,0.30040962,0.33468223,0.36605066,0.37726772,0.39522207,0.34424365,0.37202424,0.38855338,0.33296517,0.4372964,0.62314403,0.3769427,0.65750295,0.39755905,0.3199967,0.34375095,0.25188142,0.47047114,0.39183035,0.32360363,0.38504696,0.31696922,0.4023643,0.4447301,0.29979908
ArcGroupInc_20171211_8-K_EX-10.1_10976103_EX-10.1_Sponsorship Agreement,0.3440296,0.3068987,0.20018357,0.3788616,0.19507396,0.28087336,0.33554095,0.27388763,0.40709004,0.35844666,0.31018424,0.27676886,0.26751292,0.23429489,0.3677358,0.38636252,0.2663534,0.28283197,0.31881487,0.1967347,0.34756112,0.22145335,0.26282603,0.31848398,0.43286467
ArcaUsTreasuryFund_20200207_N-2_EX-99.K5_11971930_EX-99.K5_Development Agreement,0.18432687,0.24694756,0.28135467,0.25013,0.14305049,0.11735406,0.34806204,0.35237467,0.26129237,0.24171412,0.5136421,0.32066566,0.5002282,0.3556677,0.32753333,0.30852786,0.23779605,0.40874866,0.28972095,0.3295411,0.3666066,0.18111037,0.33275515,0.34861428,0.30074042
ArconicRolledProductsCorp_20191217_10-12B_EX-2.7_11923804_EX-2.7_Trademark License Agreement,0.53117824,0.5912913,0.18750782,0.5901177,0.31625545,0.41555318,0.47457576,0.4574883,0.5244664,0.5427643,0.40202743,0.43688774,0.4514889,0.4977863,0.3802917,0.5253792,0.50666606,0.51237524,0.52734244,0.31805587,0.33488682,0.32583213,0.4703819,0.35008743,0.45108512
ArmstrongFlooringInc_20190107_8-K_EX-10.2_11471795_EX-10.2_Intellectual Property Agreement,0.43570775,0.46297276,0.12228702,0.46944177,0.21166332,0.33268106,0.380202,0.38755,0.48831728,0.46024752,0.3767541,0.367477,0.39997894,0.47885418,0.3142529,0.47092086,0.41978174,0.4730881,0.55463684,0.26480442,0.3419543,0.26536667,0.41501468,0.3050542,0.3604762
"Array BioPharma Inc. - LICENSE, DEVELOPMENT AND COMMERCIALIZATION AGREEMENT",0.3799153,0.43727186,0.16062897,0.52812684,0.34529537,0.41463786,0.29576287,0.3438049,0.5140592,0.42066914,0.41540724,0.53369004,0.45598328,0.43329918,0.36773038,0.46948612,0.28207052,0.44387597,0.4377624,0.24468791,0.4020188,0.4028349,0.46468017,0.37560105,0.33311376
ArtaraTherapeuticsInc_20200110_8-K_EX-10.5_11943350_EX-10.5_License Agreement,0.34069437,0.42358032,0.15301819,0.49237603,0.27957714,0.28415123,0.33870542,0.38586235,0.3008514,0.39772874,0.35359246,0.5320952,0.39638725,0.3677321,0.34496212,0.41365826,0.33341083,0.4373688,0.44328755,0.30022502,0.3767848,0.2860774,0.42473674,0.35211116,0.28903696
AtnInternationalInc_20191108_10-Q_EX-10.1_11878541_EX-10.1_Maintenance Agreement,0.41098997,0.4190296,0.24805197,0.48457238,0.33425587,0.3962144,0.4558447,0.5549915,0.44894633,0.5395181,0.5934915,0.3222708,0.5526332,0.5015954,0.42824644,0.576136,0.3570429,0.60233086,0.43269312,0.41054344,0.4004885,0.36157635,0.4815631,0.49056005,0.37503493
AudibleInc_20001113_10-Q_EX-10.32_2599586_EX-10.32_Co-Branding Agreement_ Marketing Agreement_ Investment Distribution Agreement,0.45309713,0.41634598,0.20061687,0.46785703,0.3408923,0.36377296,0.4741081,0.4209656,0.5026515,0.4443893,0.47036207,0.40805617,0.5239093,0.33545393,0.36777276,0.44047767,0.38025862,0.49033967,0.448857,0.25489646,0.4729308,0.3643772,0.5167289,0.43516698,0.43163806
AzulSa_20170303_F-1A_EX-10.3_9943903_EX-10.3_Maintenance Agreement1,0.25400317,0.27739677,0.34443003,0.40709984,0.30414388,0.37249577,0.43306017,0.32943517,0.30696627,0.45944583,0.68721205,0.31564325,0.5942855,0.43208265,0.4565056,0.29651946,0.2851639,0.5246362,0.3546334,0.4671443,0.32487574,0.2955557,0.4370048,0.48735422,0.2793353
AzulSa_20170303_F-1A_EX-10.3_9943903_EX-10.3_Maintenance Agreement2,0.3569713,0.35189426,0.24735636,0.5028585,0.3368318,0.4584942,0.45824775,0.39583772,0.4431577,0.45473135,0.5247756,0.33832502,0.4122725,0.61944044,0.42716682,0.47277915,0.25035387,0.5428989,0.43145072,0.4299641,0.3382444,0.30163383,0.44050375,0.42444295,0.37224805
"BABCOCK_WILCOXENTERPRISES,INC_08_04_2015-EX-10.17-INTELLECTUAL PROPERTY AGREEMENT between THE BABCOCK _ WILCOX COMPANY and BABCOCK _ WILCOX ENTERPRISES, INC.",0.622621,0.5176264,0.104227915,0.46154702,0.23285379,0.30660072,0.39300266,0.37344977,0.3694739,0.38651836,0.30605316,0.38119853,0.36096054,0.381134,0.3074847,0.49157345,0.39262593,0.51315993,0.44431758,0.21385184,0.2355077,0.39178747,0.32193327,0.28462797,0.42436308
BANGIINC_05_25_2005-EX-10-Premium Managed Hosting Agreement,0.18734686,0.23817839,0.36029106,0.17259279,0.122219525,0.14319232,0.22673117,0.25600764,0.17187877,0.2108571,0.45434594,0.23139018,0.424381,0.082575604,0.24135469,0.2155474,0.3452407,0.21945241,0.114274666,0.31015193,0.3685289,0.21137246,0.32359806,0.30968004,0.17118618
BANUESTRAFINANCIALCORP_09_08_2006-EX-10.16-AGENCY AGREEMENT,0.3299629,0.24789433,0.15252475,0.4181554,0.30487275,0.36435705,0.4810496,0.42777824,0.33131272,0.30490237,0.41561878,0.41689628,0.36321545,0.32563493,0.2873559,0.25384194,0.23588717,0.3760147,0.31597608,0.43004262,0.46175903,0.40679884,0.4213363,0.33902055,0.29207718
"BELLICUMPHARMACEUTICALS,INC_05_07_2019-EX-10.1-Supply Agreement",0.3694616,0.40377456,0.25861925,0.50428104,0.36435956,0.39239252,0.3720882,0.34861642,0.48295796,0.36399993,0.5553925,0.42793143,0.55349135,0.4432134,0.35028195,0.41761726,0.28755987,0.42152405,0.42409545,0.3302346,0.40019137,0.40512538,0.42075294,0.40622172,0.37437478
"BELLRINGBRANDS,INC_02_07_2020-EX-10.18-MASTER SUPPLY AGREEMENT",0.3049931,0.37384483,0.28453475,0.3942679,0.25759393,0.3050205,0.37371743,0.3027177,0.34538752,0.41157258,0.5235557,0.37190264,0.56214637,0.31849137,0.34024855,0.27346098,0.31292942,0.3458865,0.31652445,0.33139175,0.4308582,0.29681534,0.36308807,0.38754418,0.29280713
"BERKELEYLIGHTS,INC_06_26_2020-EX-10.12-COLLABORATION AGREEMENT",0.40787935,0.46682483,0.2381626,0.48752168,0.26563054,0.32064912,0.5097343,0.4273643,0.39423388,0.47945118,0.5448424,0.4456634,0.5608867,0.33328247,0.3776098,0.48379868,0.3504078,0.40445068,0.44931045,0.3941253,0.44728446,0.57495713,0.40458906,0.44919175,0.330454
BEYONDCOMCORP_08_03_2000-EX-10.2-CO-HOSTING AGREEMENT,0.4656496,0.4926051,0.2604004,0.45046365,0.34294924,0.3806616,0.50184953,0.5544848,0.48050004,0.5091432,0.5707886,0.49666727,0.5514699,0.44820535,0.37502998,0.4787078,0.46125448,0.5603004,0.4602791,0.31331247,0.48461327,0.397142,0.57171285,0.47398508,0.39814353
BICYCLETHERAPEUTICSPLC_03_10_2020-EX-10.11-SERVICE AGREEMENT,0.453847,0.35508466,0.24140207,0.44902036,0.37279612,0.3837089,0.42621934,0.55252993,0.39465323,0.31270802,0.44997177,0.35257638,0.46393508,0.38459226,0.36659056,0.43489438,0.32179058,0.5032431,0.44717345,0.224291,0.3416217,0.32960773,0.40685946,0.5281436,0.49276912
BIOAMBERINC_04_10_2013-EX-10.34-DEVELOPMENT AGREEMENT (1),0.28731382,0.3596272,0.11476733,0.43763465,0.26808953,0.23210987,0.25296643,0.21960285,0.33475292,0.33377558,0.30939126,0.31157193,0.2825257,0.24985914,0.25019467,0.28535798,0.17155194,0.33826786,0.45506477,0.1519317,0.22819743,0.23221478,0.26240382,0.25412712,0.15416932
BIOAMBERINC_04_10_2013-EX-10.34-DEVELOPMENT AGREEMENT - First Amendment,0.1680321,0.112522274,0.0530858,0.16415754,0.14607099,0.10546126,0.116881475,0.07380842,0.25741476,0.13659237,0.05838956,0.102285,0.09061416,0.10564559,0.06551824,0.076831,0.09886429,0.14583854,0.20803913,0.009880313,0.086816415,0.06681858,0.1672855,0.0034216014,0.15031032
BIOCEPTINC_08_19_2013-EX-10-COLLABORATION AGREEMENT,0.34326276,0.3584641,0.23974231,0.48505652,0.3988926,0.29773578,0.35119325,0.3573759,0.3511906,0.4288324,0.46095747,0.42751428,0.44878638,0.33792096,0.35936236,0.3755824,0.23859116,0.422822,0.5236527,0.19941552,0.35693192,0.2362865,0.3888945,0.33323675,0.2838136
BIOFRONTERAAG_04_29_2019-EX-4.17-SUPPLY AGREEMENT,0.4222932,0.41830596,0.25794554,0.39183804,0.30865043,0.2949496,0.35421437,0.35206753,0.3817465,0.28433445,0.3458992,0.38643634,0.29110602,0.4030257,0.28063914,0.33939824,0.32827836,0.40588886,0.38127506,0.20110816,0.37279522,0.3646229,0.4194372,0.30267674,0.3548236
BIOPURECORP_06_30_1999-EX-10.13-AGENCY AGREEMENT,0.404648,0.47586825,0.23809464,0.52233386,0.35793686,0.4644477,0.48901245,0.4894748,0.48461318,0.45652482,0.63544,0.4422978,0.5914118,0.5450822,0.41330665,0.4318974,0.29733366,0.47210437,0.44509855,0.4416384,0.46872953,0.38169044,0.51133543,0.54036367,0.49208695
BLACKBOXSTOCKSINC_08_05_2014-EX-10.1-DISTRIBUTOR AGREEMENT,0.46215963,0.42159736,0.15730083,0.58079505,0.37849355,0.4771528,0.46811306,0.3930651,0.54601294,0.41971135,0.38283658,0.4236136,0.46014205,0.33254027,0.29055935,0.4413908,0.23555358,0.38473594,0.4392601,0.32288992,0.46503085,0.37464887,0.47361898,0.3678262,0.4074857
BLACKROCKMUNIHOLDINGSINVESTMENTQUALITYFUND_04_07_2020-EX-99.01-JOINT FILING AGREEMENT,0.31612998,0.22701651,0.21620335,0.3647064,0.18501721,0.18388209,0.29493862,0.4252051,0.29586348,0.38482457,0.43749505,0.41303408,0.37219018,0.2811534,0.2404103,0.26700085,0.21121344,0.40038398,0.34177893,0.26208964,0.34487495,0.24394861,0.3480177,0.333909,0.20737687
BLACKSTONEGSOLONG-SHORTCREDITINCOMEFUND_05_11_2020-EX-99.(K)(1)-SERVICE AGREEMENT,0.29895312,0.27069908,0.31159407,0.3964458,0.22833073,0.24855252,0.45123124,0.42541385,0.31963086,0.41192186,0.64779437,0.36566627,0.55410147,0.32244074,0.35914475,0.34271184,0.25876048,0.4186887,0.32377055,0.39360642,0.3744691,0.3355831,0.44982427,0.49463525,0.35628992
BLUEFLYINC_03_27_2002-EX-10.27-e-business Hosting Agreement,0.3171155,0.3443602,0.3711186,0.34522882,0.30937544,0.24525641,0.44656163,0.4581805,0.34680325,0.4632764,0.7605519,0.3613863,0.609723,0.33423096,0.39470375,0.31739384,0.32524776,0.45345455,0.2867577,0.44117177,0.40561664,0.32086366,0.38489544,0.5364905,0.39203036
"BLUEHILLSBANCORP,INC_05_20_2014-EX-1.1-AGENCY AGREEMENT",0.25849196,0.24222845,0.12201773,0.35113093,0.18204124,0.20793861,0.3137999,0.3349287,0.2676891,0.24883899,0.22221614,0.32489675,0.30230436,0.18777564,0.16291903,0.30683154,0.24050891,0.25521773,0.23491094,0.2983305,0.3580137,0.37655693,0.34704363,0.19537237,0.23730275
"BLUEROCKRESIDENTIALGROWTHREIT,INC_06_01_2016-EX-1.1-AGENCY AGREEMENT",0.33644968,0.29966468,0.17111877,0.4689358,0.28471643,0.3608902,0.37926957,0.44633794,0.4159662,0.3512195,0.36843503,0.3363884,0.3706207,0.374215,0.2091288,0.4579398,0.25532514,0.498713,0.36837006,0.29191476,0.34909156,0.4244939,0.41462445,0.29386124,0.44769484
BNCMORTGAGEINC_05_17_1999-EX-10.4-LICENSING AND WEB SITE HOSTING AGREEMENT,0.38938403,0.32103318,0.26139617,0.40104836,0.23442763,0.35809755,0.4079029,0.38011026,0.40453207,0.39937496,0.5592407,0.33993262,0.5115565,0.3369127,0.3189115,0.35640144,0.32702252,0.47835425,0.29147497,0.39917892,0.37406194,0.2713982,0.5267054,0.43474168,0.3067974
BNLFINANCIALCORP_03_30_2007-EX-10.8-OUTSOURCING AGREEMENT,0.30971527,0.35537827,0.3757442,0.40953004,0.37239522,0.37667584,0.4364643,0.41208214,0.32152987,0.50819886,0.7622398,0.39504236,0.613326,0.39678568,0.41728792,0.37920445,0.3538657,0.5014912,0.38102254,0.46841463,0.45552427,0.30849802,0.48688865,0.57431537,0.3519262
