dataset,contract_id,text,label
CUAD,LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,"(A) 375 units in the first Product Year (1999) (B) 750 units in the next succeeding Product Year; (2000) (C) 937 units in the next succeeding Product Year; (2001) (D) 1,171 units in the next succeeding Product Year; (2002) (E) 1,463 units in the next succeeding Product Year; (2003) (F) 1,828 units in the next succeeding Product Year; (2004) (G) 2,285 units in the next succeeding Product Year; (2005) (H) 2,856 unit each in the lat three years of the initial Term of this Agreement and any renewals thereof.",Minimum Commitment
CUAD,LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,"In order to maintain the exclusive rights to sell, lease, distribute and service Products in the Market, the Distributor must use all commercially reasonably efforts to purchase for sale to subdistributors the following minimum quantities of the Products from the Company: On the commencement of the Term Distributor will issue to the Company an irrevocable letter of credit (""LC"") in the amount of Five Hundred Thousand Dollars ($500,000), the form of which is attached hereto as Exhibit A and incorporated herein by reference.",Minimum Commitment
CUAD,LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,"If the Distributor shall fail to purchase the minimum number of units in any year, the Distributor's exclusive rights to sell and distribute the Product in the Market, may at Company's sole option, be reevaluated.",Minimum Commitment
CUAD,LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,"Company hereby appoints Distributor as Company's exclusive distributor within the Market and grants to Distributor the exclusive right to sell and distribute Products within the Market, and Distributor hereby accepts such appointment and such grant, in accordance with the terms and conditions of this Agreement.",License Grant
CUAD,LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,"The Company hereby grants the Distributor the right to do business and use the name ""Electric City of Illinois"" or a similar variation thereof (collectively the ""Names"") for use under this Agreement.",License Grant
CUAD,LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,"Upon the expiration or termination of this Agreement, pursuant to Section 4.1 or 4.2 hereof, the Company may, at its option to be exercised within 30 days of the date of the termination of this Agreement, and in its sole discretion, repurchase any Products in the possession of the Distributor at the net invoice price paid by the Distributor to the Company less any applicable special allowances, discounts, shipping or allowances for cooperative advertising.",Post-Termination Services
CUAD,LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,and which the Company has not repurchased.,Post-Termination Services
CUAD,LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,"Following expiration or termination of this Agreement, the Distributor may continue to sell any Products in the Market which are in its inventory",Post-Termination Services
CUAD,LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,"If Company terminates the Agreement without cause and for reasons other than Distributor's failure to meet its minimum expectations; it shall repurchase from Distributor any unopened Product, and shall bear all shipping, handling and related costs notwithstanding any other remedies to which Distributor may be entitled.",Post-Termination Services
CUAD,LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,"In the event that Company is unable or unwilling to promptly perform any warranty work without reasonable cause and following full and fair opportunity to do so, or in the event of the necessity for emergency repairs of a defective Product for which there is no reasonable possibility of performance by Company, Distributor may perform such warranty work or hire a third party to perform such warranty work and the reasonable cost thereof shall be paid by Company.",Warranty Duration
CUAD,LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,"If, within the twenty-four (24) month warranty period set forth above, Company received from Distributor or any of Distributor's end-user's a notice which may be oral notice confirmed in writing) that any of the Products sold hereunder do not meet the Warranties specified above, Company shall thereupon correct each such defect by providing the necessary repairs, and/or replacement parts, or if necessary, Products.",Warranty Duration
CUAD,LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,The Company reserves the right to reject any Products that are not factory sealed and in new and unused condition.,Warranty Duration
CUAD,LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,"In the event of any damages or other defect in a Product which is discovered by Distributor within 365 days of satisfactory installation of a Product at Distributor's or a subdistributor's customer, the Distributor shall promptly report the same to the Company and reasonably demonstrate the defect to the Company.",Warranty Duration
CUAD,LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,"The Company represents that, to the best of its knowledge, Products are in compliance with all laws, and that the Products will not be hazardous or dangerous when used for their intended purpose. Products do not cause harmful emissions or other environmental hazards and Products do not violate or infringe any patents, copyrights, trademarks or other rights of nay third party(ies).",Warranty Duration
CUAD,LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,"Company further warrants that the Products sold hereunder shall be free from defects in design, materials and workmanship for a period of twenty-four (24) months after delivery to Distributor's end-user.",Warranty Duration
CUAD,LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,"The Company shall not have any obligation with respect to Products after 365 days following delivery to Distributor, except as provided herein.",Warranty Duration
CUAD,LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,"If Company does not give Annual Notice pursuant to Section 3.1 hereof, Distributor may, within 90 days of modification, improvement or alteration, return the Products to the Company.",Warranty Duration
CUAD,LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,"Company will carry a reasonable amount of product liability insurance through a reasonably acceptable products liability insurance company and will name the Distributor as an additional insured under that policy. Company will make reasonable efforts to procure a policy, which is non-cancelable, except upon thirty (30) days, advance notice to the Distributor.",Insurance
CUAD,LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,"During the Term of this Agreement and for three years thereafter, the Distributor (on behalf of itself and each of its affiliates) agrees not to commence, or provide any information to or otherwise assist any person or entity in connection with, any suit, action or proceeding contesting the ownership, validity or enforceability of any patent, copyright, trademark, trade name or other propriety right owned by or licensed to the Company, whether currently existing or hereinafter invented, developed or acquired unless required to by court order.",Covenant Not To Sue
CUAD,"WHITESMOKE,INC_11_08_2011-EX-10.26-PROMOTION AND DISTRIBUTION AGREEMENT",Promotion and Distribution Agreement,Document Name
CUAD,"WHITESMOKE,INC_11_08_2011-EX-10.26-PROMOTION AND DISTRIBUTION AGREEMENT","""Term"" means the earlier of: (a) the end of the two year period from the Effective Date to 31 July 2013; or (b) the last day of the calendar month within which the Maximum Distribution Commitment is reached.",Expiration Date
CUAD,"WHITESMOKE,INC_11_08_2011-EX-10.26-PROMOTION AND DISTRIBUTION AGREEMENT","This Agreement shall commence on the Effective Date and, unless earlier terminated as set out in this Agreement, shall continue for the Term.",Expiration Date
CUAD,"WHITESMOKE,INC_11_08_2011-EX-10.26-PROMOTION AND DISTRIBUTION AGREEMENT",This Agreement is governed by English law and the parties submit to the exclusive jurisdiction of the English courts in relation to any dispute (contractual or non-contractual) concerning this Agreement save that either party may apply to any court for an injunction or other relief to protect its Intellectual Property Rights.,Governing Law
CUAD,"WHITESMOKE,INC_11_08_2011-EX-10.26-PROMOTION AND DISTRIBUTION AGREEMENT","[ * ] expected to experience, or [ * ] is experiencing, such Change of Control shall notify [ * ] in writing of this before or within [ * ] after the Change of Control.",Change Of Control
CUAD,"WHITESMOKE,INC_11_08_2011-EX-10.26-PROMOTION AND DISTRIBUTION AGREEMENT","[ * ] may terminate this Agreement immediately upon written notice if there is a Change of Control of [ * ]. In this Clause the term ""Control"" shall mean the possession by any person(s) directly or indirectly of the power to direct or cause the direction of another person and ""Change of Control"" is to be construed accordingly.",Change Of Control
CUAD,"WHITESMOKE,INC_11_08_2011-EX-10.26-PROMOTION AND DISTRIBUTION AGREEMENT","For the avoidance of doubt, if following [ * ] there is a transfer of shareholding or interests in Distributor to any existing or new shareholder(s) which results in any person or persons subsequently gaining Control of Distributor, then Google may exercise its right to terminate in accordance with this clause 5.4.",Change Of Control
CUAD,"WHITESMOKE,INC_11_08_2011-EX-10.26-PROMOTION AND DISTRIBUTION AGREEMENT","For the avoidance of doubt, a Change of Control shall be deemed an assignment hereunder unless [ * ] does not exercise its [ * ].",Change Of Control
CUAD,"WHITESMOKE,INC_11_08_2011-EX-10.26-PROMOTION AND DISTRIBUTION AGREEMENT",[ * ] may [ * ]any of its rights or obligations under this Agreement without the prior written consent of [ * ].,Anti-Assignment
CUAD,"WHITESMOKE,INC_11_08_2011-EX-10.26-PROMOTION AND DISTRIBUTION AGREEMENT","Subject to the terms and conditions of this Agreement, Google grants to Distributor a limited, [ * ] license during the Term to use the Google Trademarks, in accordance with Google's trademark usage guidelines, solely to market and promote the Products consistent with this Agreement, provided that all use of the Google Trademarks shall be subject to Google's prior review and advance written consent.",License Grant
CUAD,"WHITESMOKE,INC_11_08_2011-EX-10.26-PROMOTION AND DISTRIBUTION AGREEMENT","Subject to the terms and conditions of this Agreement, Google grants to Distributor a [* ] license during the Term to: (a) bundle the Distribution Products, in machine-readable binary code format only, solely with Distributor App(s); (b) distribute Bundles directly (or indirectly, subject to Clause 2.2 (Third Party Distribution)) to End Users in the Territory; (c) when indicated by the applicable Criteria Checker and requested by the End User in accordance with clause 3.2 (Form of Distribution Offering), install the Chrome Browser or the Google Toolbar (as applicable) on the End User's system using the Google Installers; and (d) reproduce (or have reproduced by Third Party Distributors as defined in Clause 2.2 (Third Party Distribution)), the Distribution Products to the extent necessary to exercise the rights granted in (a), (b) and (c).",License Grant
CUAD,"WHITESMOKE,INC_11_08_2011-EX-10.26-PROMOTION AND DISTRIBUTION AGREEMENT","During the Term, and for a period of [ * ] thereafter, Google may audit Distributor's relevant records to confirm Distributor's compliance with this Agreement.",Audit Rights
CUAD,"WHITESMOKE,INC_11_08_2011-EX-10.26-PROMOTION AND DISTRIBUTION AGREEMENT","Subject to Clauses 9.1 and 9.2, each party's total liability under or in connection with this Agreement (whether in contract, tort or otherwise) arising in any Contract Year is limited to the greater of: (a) [ * ] Euros ([ * ] Euros); and (b) [ * ]% of the total payment due to the Distributor in the relevant Contract Year pursuant to Clause 4 (Payment Terms).",Uncapped Liability
CUAD,"WHITESMOKE,INC_11_08_2011-EX-10.26-PROMOTION AND DISTRIBUTION AGREEMENT",(c) breach of any implied condition as to title or quiet enjoyment; and (d) misuse of confidential information.,Uncapped Liability
CUAD,"WHITESMOKE,INC_11_08_2011-EX-10.26-PROMOTION AND DISTRIBUTION AGREEMENT","Nothing in this Agreement shall exclude or limit either party's liability for: (a) death or personal injury resulting from the negligence of either party or their servants, agents or employees; (b) fraud or fraudulent misrepresentation;",Uncapped Liability
CUAD,"WHITESMOKE,INC_11_08_2011-EX-10.26-PROMOTION AND DISTRIBUTION AGREEMENT","Subject to Clauses 9.1 and 9.2, neither party shall be liable under this Agreement (whether in contract, tort or otherwise) for any: (a) loss of anticipated savings; (b) loss of business opportunity (which for the avoidance of doubt shall not include loss of advertising revenue); (c) loss of or corruption of data; (d) loss or damage resulting from third party claims; or (e) indirect or consequential losses; suffered or incurred by the other party (whether or not such losses were within the contemplation of the parties at the date of this Agreement).",Uncapped Liability
CUAD,"WHITESMOKE,INC_11_08_2011-EX-10.26-PROMOTION AND DISTRIBUTION AGREEMENT","Nothing in this Agreement shall exclude or limit either party's liability under Clause 10 (Indemnities), or Distributor's liability under Clause 2 (License Grants and Restrictions), Clause 3.5 (Exclusivity), Clause 3.6 (End User License Agreement) and Clause 3.7 (Accurate Reproduction) or Clause [ * ].",Uncapped Liability
CUAD,"WHITESMOKE,INC_11_08_2011-EX-10.26-PROMOTION AND DISTRIBUTION AGREEMENT","Subject to Clauses 9.1 and 9.2, each party's total liability under or in connection with this Agreement (whether in contract, tort or otherwise) arising in any Contract Year is limited to the greater of: (a) [ * ] Euros ([ * ] Euros); and (b) [ * ]% of the total payment due to the Distributor in the relevant Contract Year pursuant to Clause 4 (Payment Terms).",Cap On Liability
CUAD,"WHITESMOKE,INC_11_08_2011-EX-10.26-PROMOTION AND DISTRIBUTION AGREEMENT","Notwithstanding anything to the contrary, in no event shall the [ * ] paid or payable to Distributor by Google pursuant to Clause 4.1 (Payments) exceed the [ * ].",Cap On Liability
CUAD,"WHITESMOKE,INC_11_08_2011-EX-10.26-PROMOTION AND DISTRIBUTION AGREEMENT","Subject to Clauses 9.1 and 9.2, neither party shall be liable under this Agreement (whether in contract, tort or otherwise) for any: (a) loss of anticipated savings; (b) loss of business opportunity (which for the avoidance of doubt shall not include loss of advertising revenue); (c) loss of or corruption of data; (d) loss or damage resulting from third party claims; or (e) indirect or consequential losses; suffered or incurred by the other party (whether or not such losses were within the contemplation of the parties at the date of this Agreement).",Cap On Liability
CUAD,"WHITESMOKE,INC_11_08_2011-EX-10.26-PROMOTION AND DISTRIBUTION AGREEMENT",The foregoing Clauses 10.1 to 10.5 states the parties' entire liability and exclusive remedy with respect to infringement of a third party's Intellectual Property Rights.,Cap On Liability
CUAD,"WHITESMOKE,INC_11_08_2011-EX-10.26-PROMOTION AND DISTRIBUTION AGREEMENT",Google warrants that the Distribution Products will for a period of [ * ] from the date of their supply to Distributor be free from any defect which has a materially adverse effect on their use or operation.,Warranty Duration
CUAD,LohaCompanyltd_20191209_F-1_EX-10.16_11917878_EX-10.16_Supply Agreement,"The buyer/End-User: Shenzhen LOHAS Supply Chain Management Co., Ltd.",Parties
CUAD,LohaCompanyltd_20191209_F-1_EX-10.16_11917878_EX-10.16_Supply Agreement,"The Contract is valid for 5 years, beginning from and ended on .",Expiration Date
CUAD,LohaCompanyltd_20191209_F-1_EX-10.16_11917878_EX-10.16_Supply Agreement,"It will be governed by the law of the People's Republic of China ,otherwise it is governed by United Nations Convention on Contract for the International Sale of Goods.",Governing Law
CUAD,LohaCompanyltd_20191209_F-1_EX-10.16_11917878_EX-10.16_Supply Agreement,"Within 7 days after the arrival of the goods at destination, should the quality, specification, or quantity be found not in conformity with the stipulations of the Contract except those claims for which the insurance company or the owners of the vessel are liable, the Buyers, on the strength of the Inspection Certificate issued by the China Commodity Inspection Bureau, have the right to claim for replacement with new goods, or for compensation, and all the expenses (such as inspection charges, freight for returning the goods and for sending the replacement, insurance premium, storage and loading and unloading charges etc.) shall be borne by the Sellers.",Warranty Duration
CUAD,LohaCompanyltd_20191209_F-1_EX-10.16_11917878_EX-10.16_Supply Agreement,To be covered by the Seller for 110% invoice value against All Risks and War Risk.,Insurance
CUAD,CENTRACKINTERNATIONALINC_10_29_1999-EX-10.3-WEB SITE HOSTING AGREEMENT,WEB SITE HOSTING AGREEMENT,Document Name
CUAD,CENTRACKINTERNATIONALINC_10_29_1999-EX-10.3-WEB SITE HOSTING AGREEMENT,Centrack International,Parties
CUAD,CENTRACKINTERNATIONALINC_10_29_1999-EX-10.3-WEB SITE HOSTING AGREEMENT,"CENTRACK INTERNATIONAL, INC.",Parties
CUAD,CENTRACKINTERNATIONALINC_10_29_1999-EX-10.3-WEB SITE HOSTING AGREEMENT,"I-ON INTERACTIVE, INC.",Parties
CUAD,CENTRACKINTERNATIONALINC_10_29_1999-EX-10.3-WEB SITE HOSTING AGREEMENT,"6th day of April, 1999",Agreement Date
CUAD,CENTRACKINTERNATIONALINC_10_29_1999-EX-10.3-WEB SITE HOSTING AGREEMENT,"The term of this Agreement for the Hosted Site shall commence upon April 1, 1999 and shall continue for a period of six (6) months, unless earlier terminated in accordance with provisions hereof.",Effective Date
CUAD,CENTRACKINTERNATIONALINC_10_29_1999-EX-10.3-WEB SITE HOSTING AGREEMENT,"The term of this Agreement for the Hosted Site shall commence upon April 1, 1999 and shall continue for a period of six (6) months, unless earlier terminated in accordance with provisions hereof.",Expiration Date
CUAD,CENTRACKINTERNATIONALINC_10_29_1999-EX-10.3-WEB SITE HOSTING AGREEMENT,This Agreement shall automatically be renewed for one (1) or more one (1) month periods unless either the Customer or i-on gives notice to the other party of its intention not to renew the,Renewal Term
CUAD,CENTRACKINTERNATIONALINC_10_29_1999-EX-10.3-WEB SITE HOSTING AGREEMENT,"Agreement, which notice must be given not less than fifteen (15) days before the end of the respective initial or renewal term.",Renewal Term
CUAD,CENTRACKINTERNATIONALINC_10_29_1999-EX-10.3-WEB SITE HOSTING AGREEMENT,This Agreement shall automatically be renewed for one (1) or more one (1) month periods unless either the Customer or i-on gives notice to the other party of its intention not to renew the,Notice Period To Terminate Renewal
CUAD,CENTRACKINTERNATIONALINC_10_29_1999-EX-10.3-WEB SITE HOSTING AGREEMENT,"Agreement, which notice must be given not less than fifteen (15) days before the end of the respective initial or renewal term.",Notice Period To Terminate Renewal
CUAD,CENTRACKINTERNATIONALINC_10_29_1999-EX-10.3-WEB SITE HOSTING AGREEMENT,"This Agreement was entered into in the State of Florida, and its validity, construction, interpretation, and legal effect shall be governed by the laws and judicial decisions of the State of Florida applicable to contracts entered into and performed entirely within the State of Florida.",Governing Law
CUAD,CENTRACKINTERNATIONALINC_10_29_1999-EX-10.3-WEB SITE HOSTING AGREEMENT,Either party may terminate this Agreement without cause at any time effective upon thirty (30) days' written notice.,Termination For Convenience
CUAD,CENTRACKINTERNATIONALINC_10_29_1999-EX-10.3-WEB SITE HOSTING AGREEMENT,"i-on will not be liable under any circumstances for any lost profits or other consequential damages, even if i-on has been advised as to the possibility of such damages. i-on's liability for damages to the Customer for any cause whatsoever, regardless of the form of action, and whether in contract or in tort, including negligence, shall be limited to one (1) month's fees and the remaining portion of any prepaid fees.",Cap On Liability
CUAD,NELNETINC_04_08_2020-EX-1-JOINT FILING AGREEMENT,JOINT FILING AGREEMENT,Document Name
CUAD,NELNETINC_04_08_2020-EX-1-JOINT FILING AGREEMENT,Shelby J. Butterfield,Parties
CUAD,ADAMSGOLFINC_03_21_2005-EX-10.17-ENDORSEMENT AGREEMENT,ENDORSEMENT AGREEMENT,Document Name
CUAD,ADAMSGOLFINC_03_21_2005-EX-10.17-ENDORSEMENT AGREEMENT,The Term of this Agreement shall be for a period of [* ****] years and [*****] months commencing the 1st day of September 2004 and terminating the [*****] day of [*****].,Effective Date
CUAD,ADAMSGOLFINC_03_21_2005-EX-10.17-ENDORSEMENT AGREEMENT,The Term of this Agreement shall be for a period of [* ****] years and [*****] months commencing the 1st day of September 2004 and terminating the [*****] day of [*****].,Expiration Date
CUAD,ADAMSGOLFINC_03_21_2005-EX-10.17-ENDORSEMENT AGREEMENT,This Agreement shall be governed and construed according to the laws of the State of Kansas.,Governing Law
CUAD,ADAMSGOLFINC_03_21_2005-EX-10.17-ENDORSEMENT AGREEMENT,"When endorsing a non-competitive product, under no circumstances shall CONSULTANT wear, play, use, hold or in any way be associated with an ADAMS GOLF competitor's Product.",Non-Compete
CUAD,ADAMSGOLFINC_03_21_2005-EX-10.17-ENDORSEMENT AGREEMENT,"During the term of this Agreement, CONSULTANT shall exclusively play/use the MANDATORY PRODUCT.",Exclusivity
CUAD,ADAMSGOLFINC_03_21_2005-EX-10.17-ENDORSEMENT AGREEMENT,"CONSULTANT hereby gives and grants to ADAMS GOLF the exclusive right and license to use CONSULTANT'S ENDORSEMENT in connection with the manufacture, sale, distribution, advertising and promotion of PRODUCT in the CONTRACT TERRITORY.",Exclusivity
CUAD,ADAMSGOLFINC_03_21_2005-EX-10.17-ENDORSEMENT AGREEMENT,"During the term of this Agreement, unless otherwise authorized at the sole discretion of ADAMS GOLF in writing, CONSULTANT shall not: A.give the right to use or permit the use of CONSULTANT'S name, facsimile signature, nickname, voice or likeness to any other manufacturer or seller of PRODUCT; B.sponsor or endorse PRODUCT made or sold by any other manufacturer or seller; or C.serve as a CONSULTANT or advisor of any other manufacturer or seller of PRODUCT.",Exclusivity
CUAD,ADAMSGOLFINC_03_21_2005-EX-10.17-ENDORSEMENT AGREEMENT,"Notwithstanding paragraphs 4A, 4B and 4C above, CONSULTANT shall be entitled to endorse and play the [*****].",Competitive Restriction Exception
CUAD,ADAMSGOLFINC_03_21_2005-EX-10.17-ENDORSEMENT AGREEMENT,"Notwithstanding paragraphs 4A, 4B and 4C above, CONSULTANT shall not be required to wear ADAMS GOLF [*****] in [*****] ads.",Competitive Restriction Exception
CUAD,ADAMSGOLFINC_03_21_2005-EX-10.17-ENDORSEMENT AGREEMENT,The parties expressly agree that CONSULTANT may permit [*****] the use of CONSULTANT'S name and/or likeness in [*****] print and/or television advertisement provided that this is executed in a manner consistent with [*****] past [*****] advertising practice using similarly situated professional golfers with competing golf club endorsement agreements that include [*****].,Competitive Restriction Exception
CUAD,ADAMSGOLFINC_03_21_2005-EX-10.17-ENDORSEMENT AGREEMENT,"(It is expressly understood by the parties that CONSULTANT may play [* ****] clubs in the bag other than ADAMS GOLF clubs including, but not limited to, a putter by a manufacturer other than ADAMS GOLF but may not endorse those clubs and/or putter.)",Competitive Restriction Exception
CUAD,ADAMSGOLFINC_03_21_2005-EX-10.17-ENDORSEMENT AGREEMENT,"Neither ADAMS GOLF nor CONSULTANT shall have the right to grant sublicenses hereunder or to assign, alienate or otherwise transfer any of its rights or obligations hereunder.",Anti-Assignment
CUAD,ADAMSGOLFINC_03_21_2005-EX-10.17-ENDORSEMENT AGREEMENT,"In each and every calendar year of this Agreement, CONSULTANT shall achieve a satisfactory record of play in a minimum of [* ****] professional golf association events on the SPGA and/or PGA tour (which shall include both the PGA and SPGA Tour Skins Games).",Minimum Commitment
CUAD,ADAMSGOLFINC_03_21_2005-EX-10.17-ENDORSEMENT AGREEMENT,"If for any reason, CONSULTANT should achieve a satisfactory record of play in less than [*****] SPGA and/or PGA tour events in a calendar year, he shall repay ADAMS GOLF an amount per event for each event under [*****] achieved in the given calendar year as follows: The agreed upon repayment amount per event per calendar year: 1. Year 1. $[*****] 2. Year 2 $[*****] 3. Year 3 $[*****] 4. Year 4 $[*****] 5. Year 5 $[*****]",Minimum Commitment
CUAD,ADAMSGOLFINC_03_21_2005-EX-10.17-ENDORSEMENT AGREEMENT,"""MANDATORY PRODUCTS"" shall mean the following ADAMS GOLF PRODUCTS that CONSULTANT must exclusively play/use in all Champions/Senior Professional Golf Association (SPGA) and Professional Golf Association (PGA) events at all times: [***** ] Confidential Material redacted and filed separately with the Commission. 2 1.[*****] 2.Sufficient [*****] to maintain total minimum of [*****] ADAMS GOLF [*****] (includes [*****])[*****] at all times",Minimum Commitment
CUAD,ADAMSGOLFINC_03_21_2005-EX-10.17-ENDORSEMENT AGREEMENT,"During the term of this Agreement, CONSULTANT shall make himself available on not more than [*****] days for television and radio commercials, photo shoots, modeling and promotional appearances compatible with CONSULTANT'S own practice, play and personal time requirements.",Volume Restriction
